created_at,closed_at,summary,address
2017-01-26T09:54:08-05:00,,Property Maintenance,"327 Harter Ave Nw Canton, Ohio"
2017-01-26T09:52:13-05:00,,Potholes,"Canopy And 37th St Richmond, Virginia"
2017-01-26T09:51:28-05:00,,Pothole,"1304 East Plaza Boulevard National City, California"
2017-01-26T09:49:59-05:00,2017-01-26T09:50:22-05:00,Tree Trimming,"293 Mckinley Ave New Haven, Connecticut"
2017-01-26T09:49:18-05:00,,Storm Drain Issue/Flooding," Bahama Shores Dr S Saint Petersburg, Florida"
2017-01-26T09:47:16-05:00,,Bike Share Station Location Request,"528 Orange Street New Haven, Connecticut"
2017-01-26T09:41:22-05:00,,S-WASTE: Garbage - Cart,"1081 College Street Macon, GA"
2017-01-26T09:38:33-05:00,,Public Space,"44 Pardee Place New Haven, CT"
2017-01-26T09:30:24-05:00,,Sidewalk Concern,Ivoyhand Place Columbia MD
2017-01-26T09:23:39-05:00,,Building Violation,"5105 W Wellington Ave CHICAGO, IL 60641"
2017-01-26T09:23:04-05:00,,Post to the city of hughson ,"3018 Pioneer Road Hughson, California"
2017-01-26T09:22:32-05:00,,Tree Trimming,"45 Glen Haven Rd New Haven, Connecticut"
2017-01-26T09:22:19-05:00,,Driveways,"39 Ravine Ave Jersey City, NJ 07307, USA"
2017-01-26T09:22:04-05:00,,Streets - Potholes/Depression,423 Crestmont Dr 
2017-01-26T09:17:10-05:00,,Vegetation/Tree-Impeding Public Right of Way,"3301-3357 Duraleigh Rd Raleigh, NC 27612, USA"
2017-01-26T09:12:48-05:00,,Sidewalk Concern,"10709 Green Mountain Circle Columbia, MD"
2017-01-26T09:07:57-05:00,,Street light needs repair,"1321-1337 Hambrick Road Stone Mountain, Georgia"
2017-01-26T09:06:03-05:00,,Illegal Dumping,"2576 M.L.K. Jr Way Oakland, CA 94612, USA"
2017-01-26T09:04:12-05:00,,Traffic light cycle,"Corner Of Crossroads Blvd And Jones Franklin Rd. Cary, North Carolina"
2017-01-26T09:01:23-05:00,,Potholes,"3100 Patterson Avenue Richmond, Virginia"
2017-01-26T08:54:36-05:00,,Unmaintained Properties,"537 Purchase St New Bedford, MA 02740, USA"
2017-01-26T08:53:41-05:00,,City Park Maintenance,"600-640 3rd Street South Saint Petersburg, Florida"
2017-01-26T08:52:23-05:00,,Street light ,"664 Buffalo Ave Calumet City, Illinois"
2017-01-26T08:52:14-05:00,,missed limb collection,"302 Hampton Dr Fayetteville, North Carolina"
2017-01-26T08:51:55-05:00,,Street Lamp,"360 James Street New Haven, CT"
2017-01-26T08:51:33-05:00,,Potholes,"1-19 Linden St Quincy, MA 02170, USA"
2017-01-26T08:51:14-05:00,2017-01-26T08:59:32-05:00,Recycling pick up,"236 Mcmeeken Drive Cambridge, ontario"
2017-01-26T08:50:37-05:00,,missed limb collection,"302 Hampton Dr Fayetteville, North Carolina"
2017-01-26T08:45:49-05:00,,"Yard and/or Structure Concern (High Grass, Junk, Broken Down Vehicles, Buildings, Sheds, Garages)","134 E Weber St Toledo, OH 43608, USA"
2017-01-26T08:43:34-05:00,,City Park Maintenance,"826-968 3rd Street South Saint Petersburg, Florida"
2017-01-26T08:41:04-05:00,,Leaves have not been picked in about 6 weeks,"4330 Corey Rd. Toledo Ohio. 43623, USA"
2017-01-26T08:37:38-05:00,,Ambigious Merge - Road Rage,"U.S. 12 Ypsilanti, Michigan"
2017-01-26T08:26:39-05:00,,Pothole,"Inman Road Greensboro, North Carolina"
2017-01-26T08:07:21-05:00,,Property Maintenance,"215/217 Maryland Ave Sw Canton, Ohio"
2017-01-26T08:03:31-05:00,2017-08-25T14:29:23-04:00,Property Maintenance,"807 Maryland Ave Sw Canton, Ohio"
2017-01-26T07:58:52-05:00,,Potholes,"6 S Vine St Richmond, VA 23220, USA"
2017-01-26T07:51:23-05:00,,Potholes on Como Avenue,"2500 Como Avenue Saint Paul, Minnesota"
2017-01-26T07:51:15-05:00,,Recycling Bin left in street ,123 Sunshine Circle 
2017-01-26T07:46:15-05:00,,Potholes,"3510 Meadow Road Lehigh Acres, Florida"
2017-01-26T07:38:37-05:00,,Pothole / Drainage damage,"2-12 Water St New London, CT 06320, USA"
2017-01-26T07:36:56-05:00,,Sidewalk Repair,"1123 6th St Nw Washington, DC 20001, USA"
2017-01-26T07:35:46-05:00,,Sidewalk needs bricks,"1121 6th St Nw Washington, DC 20001, USA"
2017-01-26T07:31:30-05:00,,Pot hole getting larger. On Bright St heading towards Washington st) ,"114 Bright Rd Belmont, MA 02478, USA"
2017-01-26T07:25:57-05:00,,Kontraruch na Witominie?,Stawna 23 Gdynia
2017-01-26T07:07:31-05:00,,Rough and bumpy st ,"I-43 Milwaukee, WI 53212, USA"
2017-01-26T07:06:09-05:00,,Uneven and bumps everywhere ,"223-225 E Burleigh St Milwaukee, WI 53212, USA"
2017-01-26T06:45:41-05:00,,Traffic Signal Maintenance,"2411-2419 Appleby Line Burlington, Ontario"
2017-01-26T06:23:01-05:00,,Graffiti,"Boulevard / Nickel Bridge Richmond, Virginia"
2017-01-26T06:07:56-05:00,,Streets/Sidewalks - Curb & Gutter Repair,5711 Oak Grove Av 
2017-01-26T04:51:54-05:00,,Streets - Potholes/Depression,6775 Sobrante Rd 
2017-01-26T03:51:00-05:00,,Pothole,"Macarthur Fwy Oakland, CA 94605, USA"
2017-01-26T03:43:50-05:00,,Streets - Potholes/Depression,Perkins St & Bellevue Av 
2017-01-26T03:15:14-05:00,,Building Violation,7105 S King Dr South Side
2017-01-26T03:09:25-05:00,,Graffiti,"2862-2898 Lomas Boulevard Northeast Albuquerque, New Mexico"
2017-01-26T02:09:08-05:00,,Building Violation,7105 S King Dr South Side
2017-01-26T01:57:15-05:00,,Pothole,"4301-4341 Coliseum Way Oakland, CA 94601, USA"
2017-01-26T01:44:29-05:00,,Repairs - Street,"21980 Railroad Canyon Road Lake Elsinore, California"
2017-01-26T01:05:45-05:00,,Overhanging Trees/Shrubs,"314 Iron Horse Way Stockbridge, Georgia"
2017-01-26T00:37:58-05:00,,Sanitation Department,"3515 Queen Street North Saint Petersburg, Florida"
2017-01-26T00:14:56-05:00,,Non-working street light,"981709-981713 Hapaki Street Aiea, Hawaii"
2017-01-25T23:42:15-05:00,,Faulty traffic signal,South Kelly 
2017-01-25T23:19:20-05:00,,pothole,"51 Freesia Court Holmdel, New Jersey"
2017-01-25T23:18:18-05:00,,Signs / Bus Shelters / Pavement Markings,"11 Clark Street New Haven, Connecticut"
2017-01-25T22:36:12-05:00,,Signal repair,"1601-1665 Hill St Ann Arbor, MI 48104, USA"
2017-01-25T22:22:03-05:00,,Traffic Signal,"1-49 Leverett Circle Boston, Massachusetts"
2017-01-25T22:15:32-05:00,,Parking Violation/Abandoned Auto,"37-39 Pendleton Street New Haven, Connecticut"
2017-01-25T21:19:22-05:00,,Traffic Signs and Signals,"2217 W Freddy Gonzalez Dr Edinburg, TX 78539, USA"
2017-01-25T21:05:43-05:00,,Street light out,"25726 Dartmouth Street Dearborn Heights, Michigan"
2017-01-25T20:59:56-05:00,,Pothole,"24 Hale Ave Medford, Massachusetts"
2017-01-25T20:59:07-05:00,,Roadside Maintenance,"1894 Little Neck Rd Savannah, Georgia"
2017-01-25T20:52:49-05:00,,Signs / Bus Shelters / Pavement Markings,"2 Runo Terrace New Haven, CT"
2017-01-25T20:49:56-05:00,,Other,"Harrison Avenue Southwest & U.S. 30 & U.S. 62 Canton, Ohio"
2017-01-25T20:48:57-05:00,,Water Main Break,"17135 Gravier Street Detroit, Michigan"
2017-01-25T20:47:37-05:00,,Traffic Signal Defective,March Street Worcester
2017-01-25T20:28:51-05:00,,Street Lights,"Fruit Street Hopkinton, Massachusetts"
2017-01-25T20:25:20-05:00,,Illegal Dumping,"349 Alva Street Toledo, Ohio"
2017-01-25T20:21:42-05:00,,Sanitation Department,"629 7th Ave N Saint Petersburg, Florida"
2017-01-25T20:13:46-05:00,,Quality of Life Issues,"780 Mission St San Francisco, CA 94103, USA"
2017-01-25T20:10:23-05:00,,Traffic and Parking signage/signal issue,"46 Essex St Jersey City, NJ 07302, USA"
2017-01-25T20:04:23-05:00,,Street light,"1506 Holgate Drive Greensboro, North Carolina"
2017-01-25T20:04:10-05:00,,Potholes,"3205 Nw 34th St Topeka, KS 66618, USA"
2017-01-25T19:54:32-05:00,,Abandoned Vehicle,"104 Chestnut Street Bridgeport, Connecticut"
2017-01-25T19:44:06-05:00,,"Traffic & Parking - Signs, Lights and Paint/Markings","Salem main and Ferry, Malden, Massachusetts"
2017-01-25T19:43:04-05:00,,LARGE POTHOLES,"408 N Belmont Ave Richmond, Virginia"
2017-01-25T19:25:03-05:00,,Mechanic shop ,"Forest Avenue Freeport, Freeport"
2017-01-25T19:21:10-05:00,,Parking Enforcement,"300-348 3rd St Oakland, CA 94607, USA"
2017-01-25T19:10:42-05:00,,Roadway deterioration,"16 Sienna Way San Rafael, California"
2017-01-25T19:08:00-05:00,,Street Light 1 / Out,"1654 North Dayton Street Chicago, Illinois"
2017-01-25T19:04:49-05:00,,Illegal Dumping,"4344 Jensen St Oakland, CA 94601, USA"
2017-01-25T19:03:57-05:00,,Graffiti on Public Property,"690-700 Eucalyptus Ave Vista, CA 92084, USA"
2017-01-25T18:59:30-05:00,,Abandoned Vehicle - Public Property,"1787 Discovery Falls Dr Chula Vista, CA 91915, USA"
2017-01-25T18:58:07-05:00,,Abandoned Vehicle - Public Property,"1810 Discovery Falls Dr Chula Vista, CA 91915, USA"
2017-01-25T18:55:31-05:00,,Other,"2891 13th Ave N Saint Petersburg, Florida"
2017-01-25T18:44:31-05:00,,915 panhandling by Ross SIde,"50 Maiden Ln San Francisco, CA 94108, USA"
2017-01-25T18:37:49-05:00,,Post to Neighbors tire flattening pothole,Address Unavailable
2017-01-25T18:34:35-05:00,,Pothole several along High Street,"High Street  Oakland, California"
2017-01-25T18:32:47-05:00,,Sidewalk and Street Repair,"817-819 6th Street Northeast Washington, District of Columbia"
2017-01-25T18:29:27-05:00,,Street/Traffic Issue (Other than Pothole),"300-322 20th St Oakland, CA 94612, USA"
2017-01-25T18:26:56-05:00,,Large pothole after improper road repair,"4634-4646 Meldon Avenue Oakland, California"
2017-01-25T18:17:22-05:00,,Incorrect signage ,"300 Central Avenue Southeast Albuquerque, New Mexico"
2017-01-25T18:13:27-05:00,,Deep Pothole,"5820 Creedmoor Road Raleigh, NC"
2017-01-25T18:12:10-05:00,,Pothole,"2400-2458 E Plaza Blvd National City, CA 91950, USA"
2017-01-25T18:10:44-05:00,,Tree Planting,"801 9th Street Northeast Washington, District of Columbia"
2017-01-25T18:01:45-05:00,,Traffic/Road Safety,"8 Beechwood Lane New Haven, Connecticut"
2017-01-25T17:54:43-05:00,,Potholes ,"567 West Algonquin Road Des Plaines, Illinois"
2017-01-25T17:39:33-05:00,,Litter in Parks,Median E 12th St (Between 14th Ave And Fruitvale) 
2017-01-25T17:11:19-05:00,,Graffiti Removal,"4451 N Bernard St Chicago, IL 60625, USA"
2017-01-25T17:10:51-05:00,,Sign repair,"Geddes Avenue Ann Arbor, Michigan"
2017-01-25T17:05:00-05:00,,Sanitation Department,"559 Zanesville St S St. Petersburg, FL 33707, USA"
2017-01-25T17:04:21-05:00,,Graffiti on Public Property,"401-423 Main St Vista, CA 92084, USA"
2017-01-25T16:47:49-05:00,,Sanitation Department,"4658 22nd St N St. Petersburg, FL 33714, USA"
2017-01-25T16:47:38-05:00,,Building Violation,4046 N Bell Ave North Center
2017-01-25T16:46:35-05:00,,Graffiti on Public Property,"657-673 Eucalyptus Ave Vista, CA 92084, USA"
2017-01-25T16:45:45-05:00,,Sanitation Department,"4669 23rd St N St. Petersburg, FL 33714, USA"
2017-01-25T16:44:53-05:00,,Graffiti on Public Property,"656-668 Eucalyptus Ave Vista, CA 92084, USA"
2017-01-25T16:34:17-05:00,2017-07-26T19:40:05-04:00,Traffic/Street Sign Issues (NOT Traffic Signals),"945 West Olive Street Corona, California"
2017-01-25T16:26:14-05:00,,Building Violation,"1870 N Halsted St CHICAGO, IL 60614"
2017-01-25T16:22:42-05:00,,Furniture and trash dumping in alley way,1409 Willis Street Richmond Va
2017-01-25T16:18:06-05:00,,Bulky Item Pickup,"446 Saddle Ridge Rd Fayetteville, NC 28311, USA"
2017-01-25T16:08:37-05:00,,Parking Enforcement,"2354 83rd Ave Oakland, CA 94605, USA"
2017-01-25T16:08:33-05:00,,Potholes,"1691-1695 Burns Avenue Saint Paul, Minnesota"
2017-01-25T16:02:26-05:00,,Pothole,"3517 Suter Street Oakland, California"
2017-01-25T15:58:54-05:00,,Traffic Signal (Lights),"535-539 Quincy Shore Dr Quincy, MA 02171, USA"
2017-01-25T15:55:17-05:00,,Litter/Shopping Carts,"1000-1016 Sea St Quincy, MA 02169, USA"
2017-01-25T15:53:33-05:00,,Other Public Property Issues,"2954-2998 Cape Henry Dr Virginia Beach, VA 23451, USA"
2017-01-25T15:53:32-05:00,,Graffiti,"31750 Riverside Dr Lake Elsinore, CA 92530, USA"
2017-01-25T15:53:09-05:00,,Property Board Up,"2347 Winfield Way Ne CANTON, OHIO"
2017-01-25T15:44:42-05:00,,Pothole,"242 Nassau Street Princeton, NJ"
2017-01-25T15:44:14-05:00,,Trash Screening,"2126 James Madison Missouri City, Texas"
2017-01-25T15:43:12-05:00,,Streets - Potholes/Depression,Oak Crest Dr & Carter St 
2017-01-25T15:38:01-05:00,,Sign Missing Investigation,"1803 Ingleside Terrace Northwest Washington, District of Columbia"
2017-01-25T15:30:41-05:00,,Potholes,"Hermitage Richmond, VA 23227, USA"
2017-01-25T15:21:45-05:00,,Reinstall mount,(41.32296225158915 -72.92828787649594)
2017-01-25T15:20:01-05:00,,Tree Concern,"9820 Middle Meadow Road Ellicott City, MD"
2017-01-25T15:18:55-05:00,,Pothole,"451 Larchmont Blvd Mt Laurel, NJ 08054, USA"
2017-01-25T15:17:36-05:00,,Reinstall mount,(41.32354115605477 -72.9286457040095)
2017-01-25T15:17:03-05:00,,Business Complaint,"341 Whiton St Jersey City, NJ 07304, USA"
2017-01-25T15:16:48-05:00,,Trash Screening,"3007 Founders Ct Missouri City, Texas"
2017-01-25T15:15:28-05:00,,"Yard and/or Structure Concern (High Grass, Junk, Broken Down Vehicles, Buildings, Sheds, Garages)","103-109 Mettler 43608 Toledo, Ohio"
2017-01-25T15:14:41-05:00,,Tree Planting,"2-98 Peabody Street Northwest Washington, District of Columbia"
2017-01-25T15:14:07-05:00,,Potholes,"1217 W 10th St Corona, CA 92882, USA  (west of Lincoln, East of Sherman)"
2017-01-25T15:13:53-05:00,,Potholes,"3021 Belmellwfloyshep-E Alley Richmond, Virginia"
2017-01-25T15:12:10-05:00,,"Yard and/or Structure Concern (High Grass, Junk, Broken Down Vehicles, Buildings, Sheds, Garages)","103-109 Mettler 43608 Toledo, Ohio"
2017-01-25T15:09:05-05:00,,Street light out #12K683,"151 Fieldstone Drive Holly Springs, North Carolina"
2017-01-25T14:50:46-05:00,,Trees,"1180 Hawthorne Creek Dr Chula Vista, CA 91914, USA"
2017-01-25T14:47:24-05:00,,DANGEROUS POTHOLES,"130 Westboro Street millbury, Massachusetts"
2017-01-25T14:41:41-05:00,,Abandoned / Inoperative Vehicle (on private property),"3591 26th Ave N St. Petersburg, FL 33713, USA"
2017-01-25T14:40:57-05:00,,Pothole,"Massachusetts Turnpike Boston, Massachusetts"
2017-01-25T14:34:03-05:00,,Tree Trimming/Removal," 4521 Juanita Way S Saint Petersburg, Florida"
2017-01-25T14:24:26-05:00,,Other,"Cambridge Street Avenue Boston, Massachusetts"
2017-01-25T14:23:40-05:00,,Sidewalk Repair,"3496 East Woodmont Way Palm Harbor, Florida"
2017-01-25T14:19:46-05:00,,Facility Maintenance,"111 N. Front St Kyle, Texas"
2017-01-25T14:18:01-05:00,,code violations,"17225 Fieldcrest Avenue Farmington, Minnesota"
2017-01-25T14:14:56-05:00,,code violations,"17225 Fieldcrest Avenue Farmington, Minnesota"
2017-01-25T14:13:17-05:00,,Other: Other City Services,"3361 Birdsall Ave Oakland, CA 94619, USA"
2017-01-25T14:13:00-05:00,,Potholes,"1-49 E Hooper St Richmond, VA 23222, USA"
2017-01-25T14:04:25-05:00,,Sanitation Department,"411 1st Avenue North Saint Petersburg, Florida"
2017-01-25T13:58:54-05:00,,Non-functioning Street Lights,"4819 Hanover Ave Richmond, Virginia"
2017-01-25T13:57:52-05:00,,Graffiti,"2863-2901 66th Street North Saint Petersburg, Florida"
2017-01-25T13:55:25-05:00,,Graffiti,"3401-3599 Webster St Oakland, CA 94609, USA"
2017-01-25T13:55:22-05:00,,Overgrown Vegetation,"1301 27th Street San Diego, California"
2017-01-25T13:52:39-05:00,,Illegal Dumping,"Macarthur Fwy & Ca-24 & I-580 Oakland, CA, USA"
2017-01-25T13:52:19-05:00,,parking meter removed and not replaced,"2416a Central Avenue Alameda, California"
2017-01-25T13:48:56-05:00,,Potholes in Alleyway,"3505 Missouri Avenue Richmond, Virginia"
2017-01-25T13:45:02-05:00,,Sidewalk Repair,5235 Connecticut Avenue NW
2017-01-25T13:44:57-05:00,,Traffic Signal Maintenance,"4011 Dundas Street Burlington, Ontario"
2017-01-25T13:41:06-05:00,,Parking Enforcement,"1801-1999 Wood St Oakland, CA 94607, USA"
2017-01-25T13:36:31-05:00,,Parking Enforcement,"2967-2999 Glascock St Oakland, CA 94601, USA"
2017-01-25T13:36:17-05:00,,Interstate Lighting,"Lincoln Hwy & S Redwood Rd & I-80 Salt Lake City, UT 84116, USA"
2017-01-25T13:36:16-05:00,,Pothole,"4 Winchester St Medford, MA 02155, USA"
2017-01-25T13:20:56-05:00,,Pothole,"29 Mill St Woburn, Massachusetts"
2017-01-25T13:19:00-05:00,,Pothole,"34 William Street Medford, Massachusetts"
2017-01-25T13:15:01-05:00,,Snow Removal or Plow Damage,"12 Clifton Avenue Amherst, MA"
2017-01-25T13:14:59-05:00,,Curbing,"6 Cortez Street Chelmsford, Massachusetts"
2017-01-25T12:59:27-05:00,,Graffiti,"410 E 19th St Oakland, CA 94606, USA"
2017-01-25T12:55:41-05:00,,Report a Litter Hotspot,"State Road S-4-578 Pelzer, South Carolina"
2017-01-25T12:53:14-05:00,,Other Concerns,"8372 Norwood Rd Millersville, MD 21108, USA"
2017-01-25T12:52:08-05:00,,Streets: Sidewalks - In need of Repair,"29 Harrison Avenue Jersey City, New Jersey"
2017-01-25T12:51:49-05:00,,Pothole,"Western Boston, Massachusetts"
2017-01-25T12:51:17-05:00,,pot holes ,"158 Place Sw 164th st , Lynnwood, Washington"
2017-01-25T12:47:39-05:00,,Garbage/Recycling Service,"2309 Santa Clara Avenue Alameda, California"
2017-01-25T12:45:40-05:00,,Pothole,"Frontage Rd Oakland, CA 94607, USA"
2017-01-25T12:41:53-05:00,,STREET LIGHT OUT,"4705 Glenoak Dr Killeen, Texas"
2017-01-25T12:39:09-05:00,,Quality of Life Issues,"343 4th Street San Francisco, California"
2017-01-25T12:37:51-05:00,,Building Violation,"214 W 111th Pl CHICAGO, IL 60628"
2017-01-25T12:33:48-05:00,,Trash: Collection,"12 Claremont Avenue Jersey City, NJ"
2017-01-25T12:29:31-05:00,,Trash Screening,"3142 Thomas Paine Missouri City, Texas"
2017-01-25T12:27:18-05:00,,Pothole,"Bangerter Highway Salt Lake City, UT"
2017-01-25T12:26:48-05:00,,Leaves from park clogging catch basin ,"3014 Sussex St Nw Canton, OH 44718, USA"
2017-01-25T12:26:34-05:00,,Building Violation,"2739 S St Louis Ave CHICAGO, IL 60623"
2017-01-25T12:26:03-05:00,,Storm Drain Maintenance,"104 Poolside Lane Savannah, Georgia"
2017-01-25T12:24:41-05:00,,"Substandard,Derelict Struc","823 North 2nd Street Memphis, Tennessee"
2017-01-25T12:24:11-05:00,,Post to Neighbors,5280 Foothill Blvd Oakland CA 94601
2017-01-25T12:21:06-05:00,,Trash Screening,1930 Turtle Creek Dr Missouri City Texas
2017-01-25T12:17:34-05:00,2017-04-10T08:01:02-04:00,Potholes,"900 Kinney Street Richmond, Virginia"
2017-01-25T12:16:51-05:00,,Storm Drain/Flooding Issue,"Duncan Street Gloucester, MA"
2017-01-25T12:16:14-05:00,,Sanitation Department,"260 3rd St S St. Petersburg, FL 33701, USA"
2017-01-25T12:15:11-05:00,,Storm Drain/Flooding Issue,"148 Maplewood Avenue Gloucester, MA"
2017-01-25T12:13:26-05:00,,Trash Screening,"1926 Turtle Creek Dr Missouri City, Texas"
2017-01-25T12:12:28-05:00,,Refuse Hours ,"92 Sylvan Avenue New Haven, CT"
2017-01-25T12:11:21-05:00,,Abandoned Vehicle,"528 Whisper Mesa Street Southwest Albuquerque, New Mexico"
2017-01-25T12:10:19-05:00,,Sidewalk Concern,"8044-8098 Brightfield Rd Ellicott City, MD 21043, USA"
2017-01-25T12:05:24-05:00,,Sidewalk Repair,"728 F St Ne Washington, DC 20002, USA"
2017-01-25T12:02:01-05:00,,Roadway Markings and Traffic Striping,"Mariner Square Drive Alameda, CAMariner Square Drive"
2017-01-25T12:01:56-05:00,,Abandoned Vehicle,"527 Whisper Mesa Street Southwest Albuquerque, New Mexico"
2017-01-25T11:57:03-05:00,,Pothole,"316-330 East H Street Chula Vista, California"
2017-01-25T11:52:55-05:00,,Illegal Dumping,"1324 66th Ave Oakland, CA 94621, USA"
2017-01-25T11:45:25-05:00,,Road Conditions -planting strip,"6-8 Patten St Watertown, Massachusetts"
2017-01-25T11:43:11-05:00,,"Yard and/or Structure Concern (High Grass, Junk, Broken Down Vehicles, Buildings, Sheds, Garages)","269 East Broadway Toledo, Ohio"
2017-01-25T11:40:35-05:00,,"Yard and/or Structure Concern (High Grass, Junk, Broken Down Vehicles, Buildings, Sheds, Garages)","342 East Broadway Toledo, Ohio"
2017-01-25T11:39:45-05:00,,Trash/Bulky Item Pickup,"52-56 Ashley St New Bedford, MA 02744, USA"
2017-01-25T11:37:38-05:00,,Traffic and Parking signage/signal issue,"Washington Street Jersey City, NJ"
2017-01-25T11:35:14-05:00,,Pothole,"3431 Louise St Oakland, CA 94608, USA"
2017-01-25T11:35:03-05:00,,Traffic Sign,"Woods Edge Road & Weller Blvd. Virginia Beach, Virginia"
2017-01-25T11:33:50-05:00,,HUGE Potholes,"3102 Kings Road Dallas, Texas"
2017-01-25T11:24:36-05:00,,Restaurant Complaint,"3210 W 87th St CHICAGO, IL 60652"
2017-01-25T11:21:42-05:00,,Blue Parkway,"Blue Parkway Kansas City, Missouri"
2017-01-25T11:20:22-05:00,2017-01-31T15:42:18-05:00,Stormdrain Maintenance,"921 Bobolink Dr Virginia Beach, VA 23451, USA"
2017-01-25T11:20:12-05:00,,Post to neighbors,"7100-7198 South 995 East Midvale, Utah"
2017-01-25T11:18:46-05:00,,Street light out,"10415 Sw Murray Boulevard Beaverton, Oregon"
2017-01-25T11:12:57-05:00,,Building Violation,"2643 W 19th St CHICAGO, IL 60608"
2017-01-25T11:09:21-05:00,,(EONP)54-80 Mountain Rd. ,"80 Mountain Rd New Haven, CT 06515, USA"
2017-01-25T11:06:43-05:00,,Sewer - Stoppage/Overflow,"4670 Larry Street Beaumont, Texas"
2017-01-25T11:03:47-05:00,,Illegal Dumping,"1509 National City Boulevard National City, California"
2017-01-25T11:01:17-05:00,,Building Violation,"5608 S Michigan Ave CHICAGO, IL 60637"
2017-01-25T11:00:05-05:00,,Street tree maintenance or removal,"2601 Devonshire Ann Arbor, Michigan"
2017-01-25T10:57:35-05:00,,Illegal Dumping,"2354 83rd Ave Oakland, CA 94605, USA"
2017-01-25T10:52:13-05:00,,Water or Sewer,"201 W Market St Greensboro, North Carolina"
2017-01-25T10:50:59-05:00,,Potholes,"N Bank Trail Richmond, VA 23220, USA"
2017-01-25T10:50:54-05:00,,Mnchkymapldcr50 and 51 battery theft,"Mill Creek-Hubbards Fork Rd Manchester, KY 40962, USA"
2017-01-25T10:50:36-05:00,,Sidewalk Repair,"300-376 10th St Nw Washington, DC 20530, USA"
2017-01-25T10:49:01-05:00,,Curb & Gutter Repair / Maintenance,"471-541 Buckhalter Rd Savannah, GA 31405, USA"
2017-01-25T10:48:58-05:00,2017-09-12T10:46:26-04:00,Curb and Gutter Clean Up,"3640 View Point Dr.  Edinburg, Texas"
2017-01-25T10:37:03-05:00,,Illegal Apartment,"9 Archibald Terrace Kearny, New Jersey"
2017-01-25T10:35:12-05:00,,Parking related issue,"65-77 Monument St Medford, MA 02155, USA"
2017-01-25T10:31:12-05:00,,Bike Share Station Location Request,"760 Chapel St New Haven, CT 06510, USA"
2017-01-25T10:28:17-05:00,,(EONP)Howe St. ,"Howe St New Haven, CT, USA"
2017-01-25T10:22:02-05:00,,Graffiti Removal,"35 East Randolph Street Chicago, Illinois"
2017-01-25T10:21:44-05:00,,Streetlight,13019 Camelot Dr; Huntsville Al
2017-01-25T10:21:00-05:00,,Broken street light,"2-4 Carlisle Rd Miller Place, New York"
2017-01-25T10:17:41-05:00,,Fire hydrant ,13022 Camelot Dr; Huntsville AL 
2017-01-25T10:12:50-05:00,,"Home has piles of trash along side since March 2016, possibly sooner. Saw rat run into street in the fall, maybe from their wet junk pile. Neighbors and guests question why still not tossed after this long. House for sale across street from it. Does ",5607 Ginger Tree Lane
2017-01-25T10:05:34-05:00,,Road Issue,"2317 Lorena Ln Clearwater, FL 33765, USA"
2017-01-25T10:04:09-05:00,,Street light out,"16607 E 47th Steet Broken Arrow, Oklahoma"
2017-01-25T10:00:56-05:00,,Parking Enforcement,"1451-1499 3rd St Oakland, CA 94607, USA"
2017-01-25T09:57:30-05:00,,Storm Drain Issue/Flooding,"1735 Dr Mlk St S Saint Petersburg, Florida"
2017-01-25T09:56:53-05:00,,Post to Neighbors,16  And 14 Sanford Place Jersey City And All Of Manhattan Ave Between Summit And Montrose
2017-01-25T09:54:35-05:00,,Blocked Catch Basin,"11946 Gratiot Detroit, Michigan"
2017-01-25T09:43:55-05:00,,Illegal Dumping,"5225 Shattuck Ave Oakland, CA 94609, USA"
2017-01-25T09:40:41-05:00,,Storm - Excess Water,"2440 Long St Beaumont, TX 77702, USA"
2017-01-25T09:40:36-05:00,,Dangerous Intersection,"685 Howard Street Buffalo Erie, New York"
2017-01-25T09:37:40-05:00,,Potholes,"15369 Hanging Tree Rd Kaufman, Texas"
2017-01-25T09:36:50-05:00,2017-10-09T14:25:19-04:00,Illegal Vehicle on Property,"114 Lewis Street Bridgeport, CT"
2017-01-25T09:31:35-05:00,,Potholes,"Huguenot Rd And Stony Point Rd Richmond, Virginia"
2017-01-25T09:22:57-05:00,,Construction Without a Permit,"36 Texas Avenue Bridgeport, CT"
2017-01-25T09:09:57-05:00,,Bike Share Station Location Request,"2-98 Lock Street New Haven, Connecticut"
2017-01-25T09:09:15-05:00,,Bike Share Station Location Request,"333 Cedar Street New Haven, Connecticut"
2017-01-25T09:08:32-05:00,,Bike Share Station Location Request,"259 State Street New Haven, Connecticut"
2017-01-25T09:07:52-05:00,,Bike Share Station Location Request,"9616 Union Avenue New Haven, Connecticut"
2017-01-25T09:07:46-05:00,2017-08-18T16:20:34-04:00,Other Public Property Issues,"1017 Scarborough Court Virginia Beach, Virginia"
2017-01-25T09:02:49-05:00,,Road Inspection,"12 Drexel Dr Chelmsford, Massachusetts"
2017-01-25T09:01:31-05:00,,Parking and Traffic Concerns,"Corner Of Redington St And Humphrey St Swampscott, Massachusetts"
2017-01-25T08:59:48-05:00,,Facility Maintenance,"111 N. Front St Kyle, Texas"
2017-01-25T08:51:51-05:00,,Thank you 46th Ward Streets & San!,"820 W. Lawrence Chicago, Illinois"
2017-01-25T08:51:51-05:00,,Building Violation,"4823 N Central Park Ave CHICAGO, IL 60625"
