created_at,closed_at,summary,address
2017-01-31T14:55:03-05:00,,Very rough surface on Old Georgetown Road,"Oakmont Avenue And Old Georgetown Road Bethesda, Maryland"
2017-01-31T14:44:46-05:00,,Street sign missing,"100 The Esplanade N. # 11 Venice, Florida"
2017-01-31T14:43:42-05:00,,Trash,"511 Conway Ave Narberth, PA 19072, USA"
2017-01-31T14:42:08-05:00,,LIGHT TAKES TOO LONG,"771 Lancaster Avenue Villanova, Pennsylvania"
2017-01-31T14:41:29-05:00,,Conduit hit being dug by American water ,"2173-2189 Trade Center Dr Lexington, KY 40509, USA"
2017-01-31T14:39:05-05:00,,"Substandard,Derelict Struc","1681 Oakwood Street Memphis, Tennessee"
2017-01-31T14:35:28-05:00,,Other,"305 Gilmer St Richmond, VA 23220, USA"
2017-01-31T14:34:52-05:00,,Rubbish Collection,"4444 Railroad Avenue East Chicago, IN"
2017-01-31T14:33:35-05:00,,Potholes,"34th And Mcrand St  Richmond, Virginia"
2017-01-31T14:32:40-05:00,,Potholes,"35th And  Mcrand St  Richmond, Virginia"
2017-01-31T14:32:20-05:00,,Other 25MPH speed limit enforcement on Ashland Road,"179 Ashland Road Summit, New Jersey"
2017-01-31T14:17:24-05:00,,Illegal Dumping,"3501-3599 Beaumont Ave Oakland, CA 94602, USA"
2017-01-31T14:17:10-05:00,,(EONP)35-39 Church St. ,"39 Church St New Haven, CT 06510, USA"
2017-01-31T14:14:20-05:00,,Repairs - Traffic Signs,"31616 Saddle Ridge Dr Lake Elsinore, CA 92532, USA"
2017-01-31T14:12:03-05:00,,Sanitation Department,"2305 25th Avenue South Saint Petersburg, Florida"
2017-01-31T14:10:38-05:00,,Traffic Signals/Signs,"323-337 Billerica Road Chelmsford, Massachusetts"
2017-01-31T14:10:30-05:00,,(EONP)841 Orange St.,"841 Orange St New Haven, CT 06511, USA"
2017-01-31T14:08:15-05:00,,Debris / Litter Pickup,114 Catalina Drive Tybee Island GA 31328
2017-01-31T14:07:16-05:00,,Overgrown Vegetation,"31629 Ridgecrest Dr Lake Elsinore, CA 92532, USA"
2017-01-31T14:07:01-05:00,,Traffic and Parking signage/signal issue,"42 Dales Ave Jersey City, NJ 07306, USA"
2017-01-31T14:05:23-05:00,,Streets,"4934-4948 Main St Chula Vista, CA 91911, USA"
2017-01-31T14:03:11-05:00,,Pothole ,"4256 Royal Ave Oklahoma City, OK 73108, USA"
2017-01-31T14:02:53-05:00,,Potholes - Civic Center & Tidelands,"900 Civic Center Drive National City, California"
2017-01-31T14:00:50-05:00,,Pothole,"4229 Royal Ave Oklahoma City, OK 73108, USA"
2017-01-31T14:00:36-05:00,,(EONP)820 Orange St. ,"820 Orange St New Haven, CT 06511, USA"
2017-01-31T13:57:35-05:00,,Pothole,"1200-1340 Metropolitan Ave Oklahoma City, OK 73108, USA"
2017-01-31T13:49:21-05:00,,(EONP)Howe St. ,"Howe St New Haven, CT, USA"
2017-01-31T13:49:16-05:00,,Garage stores in the alley way,"9 Archibald Terrace Kearny, NJ"
2017-01-31T13:48:27-05:00,,Pedestrian signal not working,"Harvard St. At Kent Brookline, MA"
2017-01-31T13:47:29-05:00,,Tree Trimming/Removal,"2434 23rd Street South Saint Petersburg, Florida"
2017-01-31T13:44:00-05:00,,Sign Missing Investigation,"3138-3174 16th Street Northwest Washington, District of Columbia"
2017-01-31T13:43:53-05:00,,Pothole,"2585 E Bidwell St Folsom, CA 95630, USA"
2017-01-31T13:42:12-05:00,,(EONP)Chapel St. ,"Chapel St New Haven, CT, USA"
2017-01-31T13:40:04-05:00,,SNOW RELATED,"72 Fairfield Street New Haven, CT"
2017-01-31T13:36:23-05:00,,Building Violation,Chase Tower Chicago
2017-01-31T13:31:23-05:00,,A huge chunk of the pavement broke off and smashed my car,"1813 1500 E Salt Lake City, UT 84105, USA"
